device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7014,2024-07-04 03:30:30,0,5.1356,Flap,0.95,52.7133236,4.6137164,-5,28.7,2025-05-21 14:38:37,45_best
7014,2024-07-04 04:00:22,0,7.0553,Flap,0.98,52.7242493,4.5408528,0,29.5,2025-05-21 14:38:37,45_best
7014,2024-07-04 04:30:15,0,6.3502,Manouvre,0.95,52.7383689,4.4775152,28,29.6,2025-05-21 14:38:37,45_best
7014,2024-07-04 05:00:07,0,0.7614,Float,0.79,52.7561877,4.5108689,-3,34.0,2025-05-21 14:38:37,45_best
7014,2024-07-04 05:30:30,0,0.8276,Soar,0.55,52.7556615,4.5169022,1,35.3,2025-05-21 14:38:37,45_best
7014,2024-07-04 06:00:21,0,6.2311,Flap,0.92,52.7512778,4.5075271,35,30.4,2025-05-21 14:38:37,45_best
7014,2024-07-04 06:30:13,0,19.9462,Manouvre,0.47,52.7551400,4.6698510,88,31.4,2025-05-21 14:38:37,45_best
