device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7087,2024-05-14 10:41:18,0,11.2577,Manouvre,0.63,52.5119549,4.5713171,196,33.3,2025-05-21 11:15:16,45_best
7087,2024-05-14 10:50:48,0,10.3495,Soar,0.63,52.5567601,4.5982089,34,33.4,2025-05-21 11:15:16,45_best
7087,2024-05-14 10:55:38,0,3.4887,Soar,0.82,52.5704335,4.5980763,9,33.6,2025-05-21 11:15:16,45_best
7087,2024-05-14 11:00:25,0,15.6999,Flap,0.99,52.5653879,4.5947198,-2,30.6,2025-05-21 11:15:16,45_best
7087,2024-05-14 11:05:24,0,7.4139,Flap,0.98,52.5608276,4.5950968,-7,31.9,2025-05-21 11:15:16,45_best
