device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7092,2024-07-18 18:57:35,0,11.6086,Flap,0.99,52.4717645,4.4729599,46,31.6,2025-05-21 10:36:34,45_best
7092,2024-07-18 19:02:23,0,12.7230,Flap,1.00,52.4768667,4.4241494,45,31.5,2025-05-21 10:36:34,45_best
7092,2024-07-18 19:11:58,0,12.1846,Flap,1.00,52.4870676,4.3231130,41,31.5,2025-05-21 10:36:34,45_best
7092,2024-07-18 19:21:34,0,7.6686,Flap,1.00,52.5182079,4.2918236,49,31.1,2025-05-21 10:36:34,45_best
7092,2024-07-18 19:26:22,0,0.5992,Float,0.77,52.5343010,4.2975046,0,31.7,2025-05-21 10:36:34,45_best
7092,2024-07-18 19:35:59,0,7.3294,Flap,1.00,52.5318663,4.3157005,34,31.4,2025-05-21 10:36:34,45_best
7092,2024-07-18 19:40:47,0,7.2625,Soar,0.43,52.5362830,4.3444282,22,31.3,2025-05-21 10:36:34,45_best
7092,2024-07-18 19:45:35,0,6.7085,Flap,1.00,52.5390819,4.3714042,16,31.3,2025-05-21 10:36:34,45_best
7092,2024-07-18 19:55:10,0,8.8825,Flap,1.00,52.5212206,4.4206364,15,30.9,2025-05-21 10:36:34,45_best
7092,2024-07-18 20:00:40,0,0.4299,SitStand,0.65,52.5132432,4.4335672,-5,27.8,2025-05-21 10:36:34,45_best
7092,2024-07-18 20:05:46,0,0.3402,SitStand,0.66,52.5119287,4.4322435,-2,29.0,2025-05-21 10:36:34,45_best
7092,2024-07-18 20:10:50,0,8.8767,Flap,1.00,52.5058826,4.4386097,3,31.8,2025-05-21 10:36:34,45_best
7092,2024-07-18 20:15:54,0,7.7038,Flap,1.00,52.4849952,4.4598183,11,30.5,2025-05-21 10:36:34,45_best
