device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
5965,2024-06-02 22:50:00,0,6.8494,Soar,0.94,52.4927248,4.5609414,6,27.9,2025-06-11 09:45:38,45_best
5965,2024-06-02 22:54:48,0,11.1533,Flap,1.00,52.4908339,4.5430347,18,30.3,2025-06-11 09:45:38,45_best
5965,2024-06-02 22:59:35,0,0.8206,Float,1.00,52.4962980,4.5613330,0,24.4,2025-06-11 09:45:38,45_best
5965,2024-06-02 23:09:10,0,2.7285,Soar,0.69,52.4959700,4.5596216,4,31.4,2025-06-11 09:45:38,45_best
5965,2024-06-02 23:13:59,0,13.9755,Flap,0.99,52.4863014,4.5414642,30,31.0,2025-06-11 09:45:38,45_best
5965,2024-06-02 23:18:47,0,1.1597,Float,1.00,52.4770259,4.5297085,0,26.0,2025-06-11 09:45:38,45_best
5965,2024-06-02 23:23:35,0,0.9139,Float,0.99,52.4799941,4.5299923,-1,25.5,2025-06-11 09:45:38,45_best
5965,2024-06-02 23:28:23,0,13.7529,Flap,1.00,52.4728621,4.5407440,27,29.4,2025-06-11 09:45:38,45_best
