device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7092,2024-07-10 03:39:27,0,3.3196,Flap,0.99,52.4794246,4.5034497,4,32.3,2025-05-21 10:37:07,45_best
7092,2024-07-10 03:44:15,0,1.5712,Flap,0.98,52.4800665,4.4906860,-2,32.2,2025-05-21 10:37:07,45_best
7092,2024-07-10 03:49:04,0,0.6860,Float,0.30,52.4792989,4.4848467,-5,31.5,2025-05-21 10:37:07,45_best
7092,2024-07-10 03:53:50,0,0.1802,ExFlap,0.82,52.4749259,4.4725424,-1,32.3,2025-05-21 10:37:07,45_best
7092,2024-07-10 03:58:39,0,1.0622,Pecking,0.53,52.4676465,4.4666518,0,31.3,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:03:28,0,8.9252,Soar,0.91,52.4644246,4.4625794,0,32.8,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:08:17,0,0.2631,Pecking,0.59,52.4647487,4.4621800,0,29.4,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:13:03,0,0.9301,Pecking,0.30,52.4598562,4.4615951,1,30.8,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:17:52,0,8.6010,Flap,0.99,52.4595442,4.4619799,-1,33.3,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:22:39,0,3.2121,Boat,0.76,52.4556871,4.4591114,2,33.0,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:27:37,0,0.4357,Pecking,0.36,52.4577235,4.4603455,1,31.2,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:32:32,0,0.4998,Pecking,0.54,52.4584897,4.4498371,0,33.0,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:37:20,0,0.5079,TerLoco,0.34,52.4608855,4.4512176,0,31.2,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:42:08,0,0.5603,Float,0.36,52.4582625,4.4470843,-2,30.2,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:51:44,0,0.7419,Pecking,0.42,52.4574933,4.4366898,2,31.2,2025-05-21 10:37:07,45_best
7092,2024-07-10 04:56:31,0,1.0073,Soar,0.34,52.4528721,4.4278574,3,33.9,2025-05-21 10:37:07,45_best
7092,2024-07-10 05:01:20,0,0.9767,Float,0.38,52.4554657,4.4280789,1,30.5,2025-05-21 10:37:07,45_best
7092,2024-07-10 05:06:09,0,0.8776,Pecking,0.54,52.4582730,4.4293976,3,30.7,2025-05-21 10:37:07,45_best
7092,2024-07-10 05:10:58,0,0.3178,Float,0.41,52.4595468,4.4269282,1,33.7,2025-05-21 10:37:07,45_best
7092,2024-07-10 05:15:44,0,7.1207,Flap,0.99,52.4581827,4.4227557,0,34.8,2025-05-21 10:37:07,45_best
7092,2024-07-10 05:20:33,0,13.1001,Flap,1.00,52.4601916,4.4606178,12,34.7,2025-05-21 10:37:07,45_best
7092,2024-07-10 05:25:20,0,13.3022,Flap,1.00,52.4643859,4.5061472,25,34.4,2025-05-21 10:37:07,45_best
7092,2024-07-10 05:30:10,0,14.1919,Flap,0.99,52.4670022,4.5558645,24,34.6,2025-05-21 10:37:07,45_best
