device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7088,2024-05-15 03:45:21,0,12.2690,Flap,0.99,52.4317500,4.5471212,38,25.7,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:55:01,0,7.9003,Flap,0.89,52.4184668,4.4855305,10,24.3,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:55:43,0,7.1204,ExFlap,1.00,52.4188244,4.4873978,-1,25.1,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:55:49,0,0.2186,Pecking,0.61,52.4187601,4.4873600,-2,25.3,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:55:55,0,0.3973,Soar,0.29,52.4187760,4.4873099,0,25.0,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:02,0,0.7138,Soar,0.45,52.4187560,4.4872486,0,24.9,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:08,0,0.3077,Pecking,0.50,52.4187416,4.4872224,0,24.8,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:14,0,0.3674,Pecking,0.46,52.4187338,4.4871910,0,24.7,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:20,0,0.2351,Flap,0.66,52.4187593,4.4871880,1,24.4,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:26,0,8.0663,Flap,0.97,52.4189802,4.4877051,3,24.7,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:32,0,8.6026,Flap,0.97,52.4190840,4.4884383,3,25.2,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:38,0,7.6841,Flap,0.93,52.4192896,4.4885446,3,25.5,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:50,0,3.8604,Boat,0.47,52.4191216,4.4890358,5,26.4,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:56:56,0,1.7680,TerLoco,0.41,52.4191676,4.4891843,9,26.5,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:57:02,0,1.6037,SitStand,0.38,52.4192049,4.4893264,9,26.0,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:57:08,0,1.8728,SitStand,0.57,52.4192321,4.4894751,9,25.8,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:57:21,0,1.8389,Boat,0.36,52.4192973,4.4897854,9,25.3,2025-05-21 10:50:44,45_best
7088,2024-05-15 03:57:27,0,1.7916,TerLoco,0.55,52.4193616,4.4899156,13,25.4,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:02:30,0,9.5470,Flap,0.98,52.4251438,4.4973509,19,25.4,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:07:18,0,5.1695,Flap,0.92,52.4225478,4.5004325,2,23.4,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:21:42,0,0.8288,Float,0.56,52.4139046,4.5046135,-2,27.7,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:26:30,0,0.8343,Float,0.83,52.4130675,4.5035920,-6,29.2,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:31:20,0,0.5142,SitStand,0.94,52.4123837,4.5028033,-2,30.4,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:36:06,0,0.3732,SitStand,0.99,52.4119257,4.5024505,-3,31.0,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:40:54,0,0.8046,SitStand,0.96,52.4112996,4.5019185,-2,31.8,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:50:31,0,0.0336,SitStand,0.99,52.4116000,4.4957909,-2,30.8,2025-05-21 10:50:44,45_best
7088,2024-05-15 04:55:18,0,0.1251,SitStand,0.99,52.4110595,4.4956634,-2,30.1,2025-05-21 10:50:44,45_best
7088,2024-05-15 05:00:06,0,0.5690,SitStand,0.99,52.4110307,4.4956218,-1,30.2,2025-05-21 10:50:44,45_best
7088,2024-05-15 05:09:41,0,0.2628,SitStand,0.90,52.4112900,4.4957615,0,31.3,2025-05-21 10:50:44,45_best
7088,2024-05-15 05:14:31,0,0.3124,SitStand,1.00,52.4115704,4.4956316,3,31.4,2025-05-21 10:50:44,45_best
7088,2024-05-15 05:19:19,0,0.6544,Float,0.72,52.4117305,4.4958098,1,31.6,2025-05-21 10:50:44,45_best
7088,2024-05-15 05:34:00,0,12.1697,Flap,0.98,52.4540412,4.5681878,44,27.5,2025-05-21 10:50:44,45_best
