device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7087,2024-06-03 04:01:35,0,0.9010,SitStand,0.79,52.4519876,4.5569671,7,26.1,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:06:23,0,0.2702,Pecking,0.60,52.4519761,4.5569791,4,27.1,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:11:11,0,11.5847,Flap,0.99,52.4334730,4.5319664,49,27.4,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:15:59,0,12.3092,Flap,1.00,52.4126314,4.5078718,43,25.4,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:20:48,0,7.5097,Soar,0.93,52.3895532,4.5047072,92,27.1,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:25:35,0,5.3668,Flap,0.97,52.3887902,4.5053438,4,26.9,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:30:24,0,8.8963,Flap,0.93,52.3957023,4.5068823,0,26.9,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:35:11,0,8.9198,Flap,0.86,52.4126310,4.5075586,26,25.8,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:39:59,0,4.7083,Flap,0.98,52.4296186,4.4976970,34,25.8,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:44:47,0,7.8615,Soar,0.55,52.4512243,4.5189088,6,26.2,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:49:35,0,6.1781,SitStand,0.48,52.4598211,4.5237699,10,25.4,2025-05-21 11:13:14,45_best
7087,2024-06-03 04:54:23,0,6.1298,Flap,0.98,52.4646096,4.5342118,12,29.8,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:03:59,0,9.5574,Soar,0.97,52.4490989,4.5291185,70,28.1,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:08:47,0,10.2507,Flap,0.99,52.4353728,4.5198530,42,27.4,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:13:35,0,11.0810,Flap,0.98,52.4234842,4.4944146,38,27.2,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:18:25,0,13.1073,Flap,0.99,52.4102336,4.4607642,49,27.1,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:18:59,0,8.0514,Manouvre,0.66,52.4072128,4.4616755,66,27.3,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:19:08,0,7.9768,Soar,0.73,52.4070632,4.4627134,63,27.3,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:19:17,0,11.7085,Flap,0.99,52.4065013,4.4622202,61,27.3,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:19:26,0,10.7655,Flap,0.98,52.4056920,4.4617287,63,27.4,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:19:35,0,12.3997,Flap,0.99,52.4048476,4.4610049,53,27.5,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:19:45,0,9.4478,Flap,0.99,52.4040154,4.4601111,52,27.5,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:19:54,0,8.9868,Flap,0.99,52.4036335,4.4590666,55,27.5,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:20:03,0,7.0273,Flap,0.97,52.4035444,4.4580977,61,27.5,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:20:12,0,4.9037,Flap,0.92,52.4038177,4.4575312,69,27.6,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:20:21,0,3.9391,Soar,0.92,52.4040430,4.4570817,76,27.6,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:20:30,0,13.1340,Manouvre,0.64,52.4043807,4.4576980,72,27.6,2025-05-21 11:13:14,45_best
7087,2024-06-03 05:20:39,0,4.5225,Flap,0.73,52.4043259,4.4585046,69,27.7,2025-05-21 11:13:14,45_best
