device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7092,2024-06-12 01:52:51,0,6.7290,Flap,1.00,52.4653383,4.5569347,11,28.5,2025-05-21 10:38:27,45_best
7092,2024-06-12 01:57:38,0,4.8638,Flap,1.00,52.4664210,4.5350738,9,27.9,2025-05-21 10:38:27,45_best
7092,2024-06-12 02:02:26,0,5.7684,Flap,1.00,52.4715155,4.5175903,7,28.0,2025-05-21 10:38:27,45_best
7092,2024-06-12 02:07:15,0,12.9911,Flap,0.78,52.4652269,4.4932650,22,27.7,2025-05-21 10:38:27,45_best
7092,2024-06-12 02:12:03,0,13.4618,Flap,1.00,52.4319666,4.5028358,20,27.8,2025-05-21 10:38:27,45_best
7092,2024-06-12 02:16:50,0,7.7994,Flap,1.00,52.4268275,4.5287151,16,28.1,2025-05-21 10:38:27,45_best
7092,2024-06-12 02:21:48,0,6.4035,Flap,0.71,52.4331025,4.5306969,8,28.3,2025-05-21 10:38:27,45_best
7092,2024-06-12 02:26:53,0,10.1468,Flap,1.00,52.4434634,4.5446861,7,28.5,2025-05-21 10:38:27,45_best
