device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7087,2024-06-08 09:37:26,0,8.6884,Flap,0.97,52.4606615,4.5489020,2,28.6,2025-05-21 11:12:50,45_best
7087,2024-06-08 09:42:11,0,7.2184,Flap,0.98,52.4473471,4.5379608,5,27.3,2025-05-21 11:12:50,45_best
7087,2024-06-08 09:46:59,0,16.7225,Manouvre,0.54,52.4516072,4.5291308,67,28.0,2025-05-21 11:12:50,45_best
7087,2024-06-08 09:51:49,0,6.8267,Soar,0.75,52.4518339,4.5228302,72,28.8,2025-05-21 11:12:50,45_best
7087,2024-06-08 09:56:36,0,7.7810,Soar,0.69,52.4585167,4.5242457,84,29.9,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:01:24,0,8.3610,Flap,0.98,52.4530714,4.5231695,62,29.5,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:11:00,0,4.1868,Flap,0.94,52.4540995,4.5211654,58,29.1,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:15:47,0,8.4116,Flap,0.98,52.4510017,4.5205240,38,29.7,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:20:45,0,8.4750,Flap,0.99,52.4486037,4.5246230,38,29.3,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:25:50,0,10.9581,Soar,0.97,52.4491198,4.5186442,62,29.7,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:30:55,0,0.6657,Float,0.98,52.4511548,4.5153719,87,29.2,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:36:10,0,9.9657,Soar,0.98,52.4527956,4.5181997,91,29.6,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:41:08,0,11.7291,Soar,0.73,52.4507758,4.5193957,72,29.3,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:45:55,0,2.5016,Flap,0.87,52.4505076,4.5195616,48,29.2,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:50:46,0,10.0519,Flap,0.99,52.4620618,4.5195417,53,29.2,2025-05-21 11:12:50,45_best
7087,2024-06-08 10:55:30,0,7.1829,Flap,0.99,52.4547435,4.5208660,44,29.2,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:00:19,0,11.6754,Flap,0.99,52.4526023,4.5272499,36,28.5,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:05:07,0,10.5583,Flap,0.99,52.4537460,4.5210832,39,30.3,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:09:54,0,5.9017,Flap,0.93,52.4477546,4.5296314,37,29.8,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:14:43,0,13.3354,Flap,0.99,52.4515858,4.5263651,19,30.0,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:19:31,0,2.3610,Soar,0.86,52.4455119,4.5254534,59,30.4,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:24:20,0,12.7661,Manouvre,0.85,52.4510213,4.5253497,39,31.3,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:29:09,0,13.1455,Flap,0.99,52.4532931,4.5234947,42,30.1,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:33:56,0,3.9884,Soar,0.45,52.4491611,4.5242160,58,30.2,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:38:45,0,4.5884,Flap,0.61,52.4493051,4.5230200,46,29.7,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:43:33,0,7.6061,Flap,0.94,52.4470918,4.5241550,56,29.7,2025-05-21 11:12:50,45_best
7087,2024-06-08 11:48:21,0,5.3392,Flap,0.66,52.4402651,4.5387009,59,29.1,2025-05-21 11:12:50,45_best
