file_name,device_info_serial,date_time,index,speed_2d,prediction,confidence,altitude,temperature,runtime,model,inPark,longitude,latitude,WENT_BACK
5579_2023-06-24 01:22:18_2023-06-24 06:10:21.csv,5579,2023-06-24T05:07:25Z,0,8.7612,Soar,0.97,25,29.3,2025-05-15T15:39:17Z,45_best,1,4.2443964,52.399592,1
5579_2023-07-06 01:46:57_2023-07-06 02:50:23.csv,5579,2023-07-06T02:45:55Z,0,7.8419,Flap,1,14,28.4,2025-05-15T15:38:35Z,45_best,1,4.2430138,52.3980276,1
5579_2023-07-09 11:13:08_2023-07-09 14:00:09.csv,5579,2023-07-09T13:25:16Z,0,8.403,Flap,1,18,29.8,2025-05-15T15:38:23Z,45_best,1,4.2571591,52.4178664,0
5579_2023-07-14 02:21:21_2023-07-14 06:14:34.csv,5579,2023-07-14T03:51:25Z,0,5.7441,Flap,0.99,40,30.2,2025-05-15T15:37:51Z,45_best,1,4.228718,52.4226433,1
5579_2023-07-17 02:06:31_2023-07-17 05:13:04.csv,5579,2023-07-17T04:14:10Z,0,11.9251,Flap,0.99,30,29.4,2025-05-15T15:37:43Z,45_best,1,4.2476155,52.4037044,1
5579_2023-07-22 01:51:34_2023-07-22 03:36:56.csv,5579,2023-07-22T03:10:16Z,0,8.7081,Soar,0.76,39,31,2025-05-15T15:37:15Z,45_best,1,4.2470732,52.4029345,1
5579_2023-07-24 02:15:39_2023-07-24 03:48:43.csv,5579,2023-07-24T03:25:27Z,0,5.4221,Flap,0.99,19,30.5,2025-05-15T15:37:09Z,45_best,1,4.2440293,52.3988073,1
5579_2023-07-28 03:59:14_2023-07-28 05:37:54.csv,5579,2023-07-28T04:15:24Z,0,8.9874,Flap,0.99,32,31,2025-05-15T15:36:56Z,45_best,1,4.4635052,52.5945842,1
5615_2023-06-13 00:04:30_2023-06-13 10:00:38.csv,5615,2023-06-13T02:30:56Z,0,9.7169,Flap,0.99,22,28.1,2025-05-21T10:09:38Z,45_best,1,4.2337471,52.5721228,1
5615_2023-06-14 19:47:06_2023-06-14 23:58:47.csv,5615,2023-06-14T20:11:11Z,0,16.3891,Flap,0.99,11,29.4,2025-05-21T10:09:32Z,45_best,1,4.1735825,52.3096136,0
5615_2023-06-16 16:45:01_2023-06-16 21:30:43.csv,5615,2023-06-16T18:51:29Z,0,1.149,Float,1,-1,32.5,2025-05-21T10:09:16Z,45_best,1,4.2484918,52.4217768,0
5615_2023-06-17 16:20:19_2023-06-17 23:54:47.csv,5615,2023-06-17T16:53:55Z,0,3.7068,Flap,0.98,-1,28.8,2025-05-21T10:09:02Z,45_best,1,4.2380017,52.3959594,0
5615_2023-06-19 16:21:38_2023-06-19 23:56:13.csv,5615,2023-06-19T20:04:17Z,0,0.6708,Float,0.68,-2,25.9,2025-05-21T10:08:46Z,45_best,1,4.3625133,52.7667884,0
5615_2023-06-20 00:01:02_2023-06-20 04:05:10.csv,5615,2023-06-20T00:01:02Z,0,0.9196,SitStand,0.74,-3,30.9,2025-05-21T10:08:35Z,45_best,1,4.3177801,52.613017,1
5615_2023-06-22 00:00:11_2023-06-22 04:42:34.csv,5615,2023-06-22T02:25:29Z,0,9.9228,Flap,1,30,26.5,2025-05-21T10:08:25Z,45_best,1,4.2850781,52.5701644,1
