device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
5615,2023-06-14 19:47:06,0,12.5388,Soar,1.00,52.2331929,4.4019626,49,30.7,2025-05-21 10:09:32,45_best
5615,2023-06-14 19:51:59,0,14.1703,Flap,1.00,52.2523159,4.3589843,43,30.8,2025-05-21 10:09:32,45_best
5615,2023-06-14 19:56:47,0,15.1240,Flap,1.00,52.2722075,4.3084340,67,31.1,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:01:34,0,14.2208,Flap,1.00,52.2821534,4.2497600,24,30.9,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:11:11,0,16.3891,Flap,0.99,52.3096136,4.1735825,11,29.4,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:15:59,0,2.3933,Flap,0.98,52.3071948,4.1682052,0,28.6,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:20:56,0,6.4708,Flap,0.99,52.3105618,4.1697367,4,28.2,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:25:51,0,8.4005,Flap,1.00,52.3148028,4.1763171,1,28.2,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:30:39,0,5.8328,Flap,1.00,52.3167547,4.1900556,3,28.2,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:35:28,0,6.0437,Flap,1.00,52.3249107,4.2016735,7,27.1,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:40:16,0,7.1561,Flap,0.98,52.3399924,4.2112551,-4,27.7,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:49:52,0,8.1322,Flap,1.00,52.3626099,4.2181617,0,27.3,2025-05-21 10:09:32,45_best
5615,2023-06-14 20:54:40,0,5.7218,Flap,1.00,52.3705523,4.2344304,20,27.4,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:00:31,0,8.4442,Flap,1.00,52.3753875,4.2477854,7,27.9,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:05:18,0,1.0669,Float,0.97,52.3714867,4.2520923,-2,27.1,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:10:06,0,1.1539,Float,0.97,52.3708307,4.2512446,-3,28.8,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:14:54,0,1.3113,Float,1.00,52.3702777,4.2505085,-2,30.9,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:19:42,0,0.7403,Float,0.85,52.3696985,4.2497521,-5,29.8,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:24:30,0,0.5407,Float,1.00,52.3691650,4.2491860,-1,30.9,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:29:18,0,1.1887,Manouvre,0.68,52.3687524,4.2485775,-2,31.5,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:34:06,0,0.5072,Float,1.00,52.3683286,4.2479713,0,31.9,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:38:53,0,0.8733,Pecking,0.29,52.3681152,4.2475164,-1,29.7,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:48:29,0,1.3067,Float,1.00,52.3678262,4.2467584,1,29.0,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:53:18,0,0.2861,Float,0.92,52.3678531,4.2466070,0,28.8,2025-05-21 10:09:32,45_best
5615,2023-06-14 21:58:05,0,0.8008,Float,1.00,52.3678707,4.2463502,2,28.9,2025-05-21 10:09:32,45_best
5615,2023-06-14 22:02:54,0,1.4378,Float,0.87,52.3680292,4.2461620,-3,28.5,2025-05-21 10:09:32,45_best
5615,2023-06-14 22:12:29,0,0.3697,Float,0.78,52.3685678,4.2455300,-1,27.1,2025-05-21 10:09:32,45_best
5615,2023-06-14 22:17:18,0,1.7424,Float,0.92,52.3683657,4.2451117,-1,26.6,2025-05-21 10:09:32,45_best
