device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7088,2023-06-16 20:48:12,0,10.3011,Flap,0.99,52.4810740,4.4646477,11,28.9,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:48:25,0,9.9213,Flap,0.99,52.4817188,4.4632165,8,28.9,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:48:31,0,10.6236,Flap,0.99,52.4819619,4.4623250,7,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:48:37,0,11.3109,Flap,0.99,52.4822314,4.4614997,7,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:48:43,0,9.7176,Flap,0.99,52.4824941,4.4607122,8,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:48:49,0,11.2682,Flap,0.99,52.4826569,4.4597359,8,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:49:01,0,11.6121,Flap,0.99,52.4831071,4.4578905,12,29.1,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:49:07,0,13.0224,Flap,0.99,52.4830012,4.4568562,13,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:49:13,0,13.7517,Flap,0.99,52.4825548,4.4558658,10,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:49:19,0,10.5427,Flap,0.99,52.4826044,4.4548619,10,29.1,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:49:43,0,11.4487,Flap,0.99,52.4825464,4.4510157,8,29.1,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:49:56,0,9.2485,Flap,0.99,52.4833457,4.4501167,6,29.2,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:50:02,0,9.7348,Flap,0.99,52.4837061,4.4494733,5,29.2,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:50:32,0,7.7692,Flap,0.99,52.4855523,4.4479636,5,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:50:44,0,7.4101,Flap,0.98,52.4863156,4.4484906,6,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:50:50,0,7.7495,Flap,0.98,52.4867090,4.4486841,6,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:50:56,0,7.5789,Flap,0.98,52.4870806,4.4483701,6,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:51:03,0,8.1835,Flap,0.99,52.4874375,4.4477519,4,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:51:09,0,7.8178,Flap,0.99,52.4877210,4.4478735,3,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:51:15,0,11.8560,Flap,0.98,52.4875105,4.4484910,4,29.5,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:51:21,0,12.5856,Manouvre,0.46,52.4868843,4.4481502,5,29.5,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:51:27,0,1.1882,Boat,0.29,52.4867453,4.4478974,0,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:51:39,0,8.1019,Flap,0.99,52.4868473,4.4472801,3,28.6,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:51:51,0,6.4551,Flap,0.99,52.4872822,4.4472203,5,28.8,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:51:57,0,9.8024,Flap,0.99,52.4871288,4.4478084,5,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:03,0,11.8767,Flap,0.99,52.4865839,4.4473229,4,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:10,0,12.2651,Flap,0.99,52.4860944,4.4465556,5,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:16,0,11.2667,Flap,0.98,52.4855999,4.4459173,5,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:22,0,12.6719,Flap,0.95,52.4849776,4.4456052,5,28.9,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:28,0,12.6509,Flap,0.97,52.4843683,4.4452046,5,28.9,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:34,0,7.1714,Flap,0.99,52.4840296,4.4447009,1,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:40,0,7.0086,Flap,0.99,52.4843014,4.4443198,3,29.1,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:46,0,6.8424,Flap,0.98,52.4846515,4.4441606,4,29.2,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:52,0,7.5960,Flap,0.99,52.4849644,4.4445197,4,29.2,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:52:58,0,8.0261,Flap,0.99,52.4851474,4.4451227,4,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:04,0,7.6844,Flap,0.98,52.4853247,4.4457422,3,29.4,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:10,0,1.6246,Boat,0.46,52.4853445,4.4459742,-1,29.3,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:17,0,3.6633,Flap,0.98,52.4854594,4.4459800,2,28.6,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:23,0,5.7895,Flap,0.99,52.4857307,4.4461117,2,29.0,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:29,0,6.9634,Flap,0.99,52.4859890,4.4464992,3,29.2,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:35,0,8.2894,Flap,0.98,52.4860317,4.4471739,3,29.4,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:41,0,11.6931,Flap,0.98,52.4857102,4.4478846,4,29.4,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:47,0,10.7016,Flap,0.98,52.4853216,4.4485761,4,29.5,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:53,0,12.6832,Flap,0.98,52.4847708,4.4487877,5,29.6,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:53:59,0,10.2374,Flap,0.99,52.4844877,4.4479689,4,29.6,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:05,0,7.8421,Flap,0.99,52.4846078,4.4472992,4,29.5,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:11,0,3.2566,Flap,0.93,52.4848198,4.4471142,0,29.6,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:17,0,5.3695,Flap,0.99,52.4851036,4.4469765,2,29.6,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:24,0,6.2050,Flap,0.99,52.4854488,4.4471464,3,29.5,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:30,0,7.4427,Flap,0.99,52.4856819,4.4475894,4,29.6,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:36,0,7.9965,Flap,0.99,52.4859641,4.4480969,4,29.6,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:42,0,8.0376,Flap,0.98,52.4863202,4.4483721,4,29.7,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:48,0,7.5367,Flap,0.99,52.4867298,4.4483466,3,29.7,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:54:54,0,7.4777,Flap,0.99,52.4870739,4.4485448,3,29.7,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:55:00,0,6.7784,Flap,0.99,52.4873825,4.4488108,3,29.7,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:55:31,0,7.2516,Flap,0.98,52.4894411,4.4501049,3,29.7,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:55:36,0,7.7955,Flap,0.99,52.4897722,4.4501526,4,29.7,2025-05-21 10:15:05,45_best
7088,2023-06-16 20:55:42,0,8.4332,Flap,0.99,52.4901941,4.4500302,4,29.7,2025-05-21 10:15:05,45_best
