device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7130,2023-07-07 06:32:01,0,6.4497,Flap,0.98,52.4353689,4.4832525,13,32.4,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:32:16,0,6.0304,Flap,0.99,52.4346743,4.4824301,23,32.6,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:32:21,0,6.2154,Soar,0.95,52.4344437,4.4823040,22,32.6,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:32:28,0,5.9744,Soar,0.94,52.4344404,4.4824965,15,32.6,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:32:34,0,0.8427,Flap,0.38,52.4344621,4.4825171,11,32.7,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:32:46,0,7.2376,Flap,0.99,52.4341267,4.4817124,12,32.9,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:32:52,0,7.5731,Flap,0.97,52.4338931,4.4815791,16,32.9,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:32:58,0,10.3642,Flap,0.99,52.4338085,4.4807042,18,32.9,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:04,0,6.9622,Flap,0.98,52.4336427,4.4800202,22,32.9,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:10,0,7.6336,Flap,0.98,52.4334135,4.4794731,25,32.9,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:16,0,7.6637,Flap,0.96,52.4332146,4.4788409,26,32.8,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:22,0,10.3915,Flap,0.98,52.4331623,4.4779999,28,32.7,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:28,0,8.7834,Flap,0.99,52.4331143,4.4771500,30,32.6,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:34,0,6.6418,Flap,0.99,52.4328678,4.4767700,30,32.7,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:40,0,7.6548,Flap,0.99,52.4327078,4.4760645,32,32.8,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:47,0,6.9724,Flap,0.98,52.4324050,4.4755479,32,32.8,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:53,0,8.0283,Flap,0.99,52.4321412,4.4750424,35,32.8,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:33:59,0,7.4683,Flap,0.98,52.4318822,4.4746343,35,32.8,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:34:05,0,7.8530,Flap,0.98,52.4316565,4.4740499,36,32.9,2025-05-20 15:14:53,45_best
7130,2023-07-07 06:34:11,0,6.6161,Flap,0.97,52.4314102,4.4736021,36,32.8,2025-05-20 15:14:53,45_best
