device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
5861,2023-07-03 07:15:00,0,4.7106,Flap,0.99,52.4787458,4.5166350,28,32.7,2025-05-21 10:12:17,45_best
5861,2023-07-03 07:28:10,0,0.8192,Float,0.99,52.4855256,4.4961938,4,35.3,2025-05-21 10:12:17,45_best
5861,2023-07-03 07:33:00,0,13.0338,Soar,0.99,52.4924444,4.5136635,109,33.5,2025-05-21 10:12:17,45_best
5861,2023-07-03 07:37:51,0,3.4411,Flap,0.94,52.4904683,4.5364045,40,32.8,2025-05-21 10:12:17,45_best
5861,2023-07-03 07:42:49,0,4.2835,Flap,0.89,52.4939085,4.5337845,38,32.0,2025-05-21 10:12:17,45_best
5861,2023-07-03 07:47:36,0,2.5244,Boat,0.73,52.4948766,4.5364789,11,30.8,2025-05-21 10:12:17,45_best
5861,2023-07-03 07:52:25,0,1.8388,Float,0.67,52.4951071,4.5385620,45,32.9,2025-05-21 10:12:17,45_best
5861,2023-07-03 07:57:17,0,11.0897,Flap,0.99,52.4976883,4.5451233,45,33.2,2025-05-21 10:12:17,45_best
5861,2023-07-03 08:02:38,0,6.2213,Flap,0.88,52.5052180,4.5803353,44,33.7,2025-05-21 10:12:17,45_best
