device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
7087,2023-07-01 08:56:54,0,6.8509,Flap,0.97,52.4381902,4.5463151,20,28.6,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:01:36,0,6.5804,Flap,0.91,52.4262420,4.5403073,16,28.5,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:06:24,0,8.9421,Flap,0.95,52.4124223,4.5333336,19,28.6,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:11:13,0,9.0090,Flap,0.99,52.4126581,4.5198590,19,28.9,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:16:03,0,5.9797,Flap,0.59,52.4088072,4.5060589,25,27.3,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:20:48,0,6.3822,Flap,0.98,52.4121808,4.4920718,16,28.0,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:25:36,0,3.2492,Flap,0.54,52.4227963,4.4782982,42,27.7,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:26:15,0,6.3463,Manouvre,0.81,52.4230108,4.4763576,37,27.8,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:26:19,0,3.3227,Soar,0.92,52.4230065,4.4762122,41,27.8,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:26:25,0,3.1666,Soar,0.82,52.4228339,4.4761177,44,27.8,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:26:31,0,6.2150,Manouvre,0.55,52.4230936,4.4758373,42,27.8,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:26:37,0,12.8958,Manouvre,0.76,52.4236829,4.4758280,36,27.9,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:26:43,0,3.1004,Flap,0.78,52.4239153,4.4756855,43,27.9,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:26:49,0,4.0034,Float,0.38,52.4238735,4.4754416,39,28.0,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:26:55,0,5.0201,Manouvre,0.55,52.4240298,4.4750519,36,28.0,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:27:01,0,11.6904,Flap,0.98,52.4245007,4.4749650,34,28.0,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:27:08,0,12.4360,Flap,0.99,52.4253004,4.4751720,31,28.1,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:27:14,0,11.3239,Flap,0.98,52.4259428,4.4753076,30,28.1,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:27:20,0,14.4120,Flap,0.99,52.4266694,4.4754676,26,28.1,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:27:26,0,12.7468,Flap,0.99,52.4273504,4.4755502,25,28.1,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:27:32,0,10.9204,Flap,0.98,52.4279833,4.4755813,26,28.1,2025-05-15 15:07:14,45_best
7087,2023-07-01 09:27:38,0,8.8999,Flap,0.99,52.4284074,4.4754227,25,28.1,2025-05-15 15:07:14,45_best
