device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
5861,2023-07-09 06:45:54,0,1.1942,Float,1.00,52.5048022,4.3479816,0,35.3,2025-05-21 10:12:12,45_best
5861,2023-07-09 06:50:41,0,2.2779,Boat,0.38,52.5072831,4.3487258,-1,36.4,2025-05-21 10:12:12,45_best
5861,2023-07-09 06:55:28,0,2.9287,Boat,0.32,52.5096974,4.3493889,0,36.8,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:00:19,0,0.8340,Float,0.95,52.5120852,4.3500463,0,36.5,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:05:05,0,2.4605,Boat,0.35,52.5145344,4.3507524,-1,37.0,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:09:53,0,1.6775,Float,0.81,52.5171222,4.3516962,3,37.3,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:14:40,0,2.4109,Float,0.45,52.5197730,4.3526108,0,37.5,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:19:28,0,0.9762,Float,0.98,52.5224114,4.3536953,3,37.7,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:24:16,0,3.2139,Boat,0.56,52.5249701,4.3546561,1,37.6,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:29:06,0,2.4507,Boat,0.52,52.5275102,4.3558839,2,36.5,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:33:54,0,2.3092,Float,0.73,52.5302107,4.3567645,4,36.3,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:38:40,0,2.4955,Float,0.73,52.5328031,4.3571619,4,36.9,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:43:29,0,0.8482,Float,0.98,52.5351462,4.3569255,5,37.2,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:48:17,0,2.0454,Float,0.84,52.5377346,4.3567384,2,37.8,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:53:30,0,1.3946,Float,0.97,52.5403743,4.3575267,-3,37.6,2025-05-21 10:12:12,45_best
5861,2023-07-09 07:58:25,0,2.0757,Float,0.49,52.5427744,4.3587295,1,37.7,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:03:14,0,4.0454,Soar,0.86,52.5451614,4.3598500,-5,37.6,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:13:00,0,1.2704,Soar,0.35,52.5499847,4.3629319,-5,37.4,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:18:02,0,0.7261,Float,0.99,52.5535807,4.3676448,-4,35.3,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:23:06,0,1.3123,Float,1.00,52.5565320,4.3688887,-6,36.8,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:28:12,0,1.1467,Float,0.98,52.5572407,4.3745324,1,33.1,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:33:14,0,1.2943,Float,0.98,52.5604172,4.3766271,-2,35.8,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:38:19,0,1.1953,Float,1.00,52.5629536,4.3779473,-2,36.4,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:43:24,0,0.9956,Float,0.98,52.5654077,4.3787361,-3,36.4,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:48:29,0,1.2202,Float,1.00,52.5677893,4.3799484,-8,36.7,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:53:32,0,1.1186,Float,0.98,52.5699928,4.3810479,-1,36.8,2025-05-21 10:12:12,45_best
5861,2023-07-09 08:58:25,0,11.1529,Flap,0.99,52.5577210,4.4012772,27,32.8,2025-05-21 10:12:12,45_best
5861,2023-07-09 09:03:12,0,12.4876,Flap,1.00,52.5405461,4.4339073,69,32.7,2025-05-21 10:12:12,45_best
5861,2023-07-09 09:08:01,0,10.5259,Flap,0.99,52.5273307,4.4615567,140,33.2,2025-05-21 10:12:12,45_best
5861,2023-07-09 09:12:48,0,12.7707,Flap,1.00,52.5148391,4.4986615,66,33.5,2025-05-21 10:12:12,45_best
5861,2023-07-09 09:17:37,0,12.2955,Flap,1.00,52.4933803,4.5311328,239,34.2,2025-05-21 10:12:12,45_best
5861,2023-07-09 09:22:44,0,9.0461,Flap,0.99,52.4665590,4.5643577,25,34.5,2025-05-21 10:12:12,45_best
