file_name,device_info_serial,date_time,index,speed_2d,prediction,confidence,altitude,temperature,runtime,model,inPark,longitude,latitude,WENT_BACK,counttime,temp_diff,time_diff,tempchange,temp_drop_flag,feeding_event
5579_2023-06-18 13:22:06_2023-06-18 15:44:40.csv,5579,2023-06-18T14:06:54Z,0,0.5697,ExFlap,0.98,-12,24.9,2025-05-15T15:39:37Z,45_best,0,4.4065515,52.4809506,1,1687097214,-5.600000000000001,6,-0.9333333333333336,1,1
5579_2023-06-24 01:22:18_2023-06-24 06:10:21.csv,5579,2023-06-24T03:41:53Z,0,0.4504,Float,0.99,2,25.1,2025-05-15T15:39:17Z,45_best,0,4.2404397,52.3693903,1,1687578113,-6.699999999999999,12,-0.5583333333333332,1,1
5579_2023-06-24 01:22:18_2023-06-24 06:10:21.csv,5579,2023-06-24T05:09:32Z,0,0.8298,ExFlap,0.96,-1,25.4,2025-05-15T15:39:17Z,45_best,1,4.2326474,52.4041761,1,1687583372,-3.700000000000003,6,-0.6166666666666671,1,1
5579_2023-06-25 04:30:01_2023-06-25 05:48:14.csv,5579,2023-06-25T05:05:08Z,0,0.2601,Soar,0.46,-2,28,2025-05-15T15:39:09Z,45_best,0,4.3752909,52.4529807,1,1687669508,-3.5,13,-0.2692307692307692,1,1
5579_2023-06-28 17:51:33_2023-06-28 18:46:24.csv,5579,2023-06-28T18:04:39Z,0,0.8244,Pecking,0.58,-2,28.1,2025-05-15T15:38:56Z,45_best,0,4.3915426,52.48558,1,1687975479,-2.1999999999999993,6,-0.36666666666666653,1,1
5579_2023-07-04 16:53:35_2023-07-04 19:37:31.csv,5579,2023-07-04T17:24:12Z,0,1.073,Pecking,0.72,-2,25.8,2025-05-15T15:38:42Z,45_best,0,4.2894979,52.4769532,1,1688491452,-4.699999999999999,25,-0.18799999999999997,1,1
5579_2023-07-09 01:59:44_2023-07-09 02:37:41.csv,5579,2023-07-09T02:18:31Z,0,0.2665,Float,0.84,-3,29.6,2025-05-15T15:38:28Z,45_best,0,4.5094982,52.4723582,1,1688869111,-2.8999999999999986,286,-0.010139860139860134,1,1
5579_2023-07-14 02:21:21_2023-07-14 06:14:34.csv,5579,2023-07-14T03:21:17Z,0,4.3773,Flap,0.94,-12,26,2025-05-15T15:37:51Z,45_best,0,4.3216983,52.4329872,1,1689304877,-3.3999999999999986,18,-0.1888888888888888,1,1
5579_2023-07-29 18:49:12_2023-07-29 20:10:59.csv,5579,2023-07-29T19:21:06Z,0,0.2085,Pecking,0.72,-5,27.4,2025-05-15T15:36:50Z,45_best,0,4.3993907,52.5103524,1,1690658466,-3.900000000000002,18,-0.21666666666666679,1,1
5615_2023-06-13 00:04:30_2023-06-13 10:00:38.csv,5615,2023-06-13T09:21:33Z,0,10.1938,Flap,1,-5,29.9,2025-05-21T10:09:38Z,45_best,0,4.1866246,52.5156057,1,1686648093,-4.700000000000003,288,-0.016319444444444456,1,1
5615_2023-06-15 00:04:06_2023-06-15 05:40:00.csv,5615,2023-06-15T04:16:22Z,0,1.22,Float,0.99,-9,27.4,2025-05-21T10:09:22Z,45_best,0,4.2885157,52.4502296,1,1686802582,-4.100000000000001,305,-0.013442622950819676,1,1
5615_2023-06-16 00:07:49_2023-06-16 04:58:26.csv,5615,2023-06-16T02:43:15Z,0,9.0961,Flap,1,22,25.7,2025-05-21T10:09:07Z,45_best,0,4.2767745,52.5346924,1,1686883395,-3.1000000000000014,291,-0.010652920962199318,1,1
