"","file_name","device_info_serial","start_time","end_time","duration_minutes","inPark"
"1","5579_2023-06-18 13:22:06_2023-06-18 15:44:40.csv",5579,2023-06-18 13:22:06,2023-06-18 15:44:40,142.566666666667,0
"2","5579_2023-06-24 01:22:18_2023-06-24 06:10:21.csv",5579,2023-06-24 01:22:18,2023-06-24 06:10:21,288.05,1
"3","5579_2023-06-25 04:30:01_2023-06-25 05:48:14.csv",5579,2023-06-25 04:30:01,2023-06-25 05:48:14,78.2166666666667,0
"4","5579_2023-06-28 17:51:33_2023-06-28 18:46:24.csv",5579,2023-06-28 17:51:33,2023-06-28 18:46:24,54.85,0
"5","5579_2023-07-04 16:53:35_2023-07-04 19:37:31.csv",5579,2023-07-04 16:53:35,2023-07-04 19:37:31,163.933333333333,0
"6","5579_2023-07-09 01:59:44_2023-07-09 02:37:41.csv",5579,2023-07-09 01:59:44,2023-07-09 02:37:41,37.95,0
"7","5579_2023-07-14 02:21:21_2023-07-14 06:14:34.csv",5579,2023-07-14 02:21:21,2023-07-14 06:14:34,233.216666666667,0
"8","5579_2023-07-29 18:49:12_2023-07-29 20:10:59.csv",5579,2023-07-29 18:49:12,2023-07-29 20:10:59,81.7833333333333,0
"9","5615_2023-06-13 00:04:30_2023-06-13 10:00:38.csv",5615,2023-06-13 00:04:30,2023-06-13 10:00:38,596.133333333333,0
"10","5615_2023-06-15 00:04:06_2023-06-15 05:40:00.csv",5615,2023-06-15 00:04:06,2023-06-15 05:40:00,335.9,0
"11","5615_2023-06-16 00:07:49_2023-06-16 04:58:26.csv",5615,2023-06-16 00:07:49,2023-06-16 04:58:26,290.616666666667,0
"12","5615_2023-06-18 00:05:06_2023-06-18 04:37:04.csv",5615,2023-06-18 00:05:06,2023-06-18 04:37:04,271.966666666667,0
"13","5615_2023-06-20 00:01:02_2023-06-20 04:05:10.csv",5615,2023-06-20 00:01:02,2023-06-20 04:05:10,244.133333333333,1
"14","5615_2023-06-22 00:00:11_2023-06-22 04:42:34.csv",5615,2023-06-22 00:00:11,2023-06-22 04:42:34,282.383333333333,0
"15","5615_2023-06-23 08:50:54_2023-06-23 12:51:07.csv",5615,2023-06-23 08:50:54,2023-06-23 12:46:20,235.433333333333,0
"16","5615_2023-06-26 03:55:31_2023-06-26 10:03:06.csv",5615,2023-06-26 03:55:31,2023-06-26 10:03:06,367.583333333333,0
"17","5615_2023-07-09 00:02:37_2023-07-09 03:59:21.csv",5615,2023-07-09 00:02:37,2023-07-09 03:59:21,236.733333333333,0
"18","5615_2023-07-20 14:37:50_2023-07-20 20:30:51.csv",5615,2023-07-20 14:37:50,2023-07-20 20:30:51,353.016666666667,1
"19","5654_2023-06-23 03:58:38_2023-06-23 06:03:41.csv",5654,2023-06-23 03:58:38,2023-06-23 06:03:41,125.05,0
"20","5654_2023-06-28 19:12:13_2023-06-28 21:22:35.csv",5654,2023-06-28 19:12:13,2023-06-28 21:22:35,130.366666666667,0
"21","5654_2023-07-08 19:39:24_2023-07-08 20:55:16.csv",5654,2023-07-08 19:39:25,2023-07-08 20:55:16,75.85,0
"22","5654_2023-07-10 17:28:01_2023-07-10 18:25:55.csv",5654,2023-07-10 17:32:54,2023-07-10 18:25:55,53.0166666666667,0
"23","5654_2023-07-19 07:12:22_2023-07-19 08:26:47.csv",5654,2023-07-19 07:12:22,2023-07-19 08:26:47,74.4166666666667,0
"24","5654_2023-07-20 18:17:54_2023-07-20 18:54:02.csv",5654,2023-07-20 18:17:54,2023-07-20 18:54:02,36.1333333333333,0
"25","5654_2023-07-21 01:04:33_2023-07-21 03:24:38.csv",5654,2023-07-21 01:04:33,2023-07-21 03:24:38,140.083333333333,0
"26","5654_2023-07-28 02:51:54_2023-07-28 03:31:38.csv",5654,2023-07-28 02:51:54,2023-07-28 03:31:38,39.7333333333333,0
"27","5654_2023-07-28 13:31:51_2023-07-28 14:34:10.csv",5654,2023-07-28 13:31:51,2023-07-28 14:34:10,62.3166666666667,0
"28","5717_2023-06-16 07:56:38_2023-06-16 11:29:09.csv",5717,2023-06-16 07:56:38,2023-06-16 11:29:09,212.516666666667,0
"29","5717_2023-07-09 07:23:09_2023-07-09 07:47:09.csv",5717,2023-07-09 07:23:09,2023-07-09 07:47:09,24,0
"30","5861_2023-06-20 00:03:36_2023-06-20 05:11:53.csv",5861,2023-06-20 00:03:36,2023-06-20 05:11:53,308.283333333333,0
"31","5861_2023-07-09 06:45:54_2023-07-09 09:22:44.csv",5861,2023-07-09 06:45:54,2023-07-09 09:22:44,156.833333333333,0
"32","5861_2023-07-18 02:22:05_2023-07-18 09:21:31.csv",5861,2023-07-18 02:22:05,2023-07-18 09:21:31,419.433333333333,0
"33","5943_2023-07-01 17:11:30_2023-07-01 19:57:06.csv",5943,2023-07-01 17:11:30,2023-07-01 19:57:06,165.6,0
"34","5943_2023-07-04 17:28:51_2023-07-04 21:06:07.csv",5943,2023-07-04 17:28:51,2023-07-04 21:06:07,217.266666666667,1
"35","5965_2023-06-18 19:02:22_2023-06-18 20:17:46.csv",5965,2023-06-18 19:02:22,2023-06-18 20:17:46,75.4,0
"36","5965_2023-06-21 03:06:23_2023-06-21 05:45:20.csv",5965,2023-06-21 03:06:23,2023-06-21 05:45:20,158.95,0
"37","5965_2023-06-23 19:45:25_2023-06-23 20:32:08.csv",5965,2023-06-23 19:45:25,2023-06-23 20:32:08,46.7166666666667,0
"38","5965_2023-07-03 04:14:09_2023-07-03 05:45:53.csv",5965,2023-07-03 04:14:09,2023-07-03 05:45:53,91.7333333333333,0
"39","5965_2023-07-04 04:22:28_2023-07-04 06:00:20.csv",5965,2023-07-04 04:22:28,2023-07-04 06:00:20,97.8666666666667,0
"40","5965_2023-07-14 15:34:27_2023-07-14 16:41:54.csv",5965,2023-07-14 15:34:27,2023-07-14 16:37:06,62.65,0
"41","7087_2023-06-15 11:58:09_2023-06-15 14:40:27.csv",7087,2023-06-15 11:58:09,2023-06-15 14:40:27,162.3,0
"42","7087_2023-06-21 20:16:29_2023-06-21 21:35:21.csv",7087,2023-06-21 20:16:29,2023-06-21 21:35:21,78.8666666666667,0
"43","7087_2023-06-28 14:54:13_2023-06-28 20:49:25.csv",7087,2023-06-28 14:54:13,2023-06-28 20:49:25,355.2,1
"44","7087_2023-06-30 14:33:20_2023-06-30 17:05:50.csv",7087,2023-06-30 14:33:20,2023-06-30 17:05:50,152.5,0
"45","7087_2023-07-18 17:01:35_2023-07-18 18:41:17.csv",7087,2023-07-18 17:01:35,2023-07-18 18:41:17,99.7,0
"46","7087_2023-07-24 04:19:28_2023-07-24 09:04:58.csv",7087,2023-07-24 04:19:34,2023-07-24 09:04:21,284.783333333333,0
"47","7087_2023-07-28 15:04:09_2023-07-28 20:06:09.csv",7087,2023-07-28 15:04:09,2023-07-28 20:06:09,302,0
