file_name,device_info_serial,start_time,end_time,inPark,WENT_BACK,feeding_event
5615_2023-06-22 00:00:11_2023-06-22 04:42:34.csv,5615,2023-06-22T00:00:11Z,2023-06-22T04:42:34Z,1,1,1
5615_2023-06-23 00:01:07_2023-06-23 04:09:36.csv,5615,2023-06-23T00:01:07Z,2023-06-23T04:09:36Z,1,0,0
5615_2023-06-23 08:50:54_2023-06-23 12:51:07.csv,5615,2023-06-23T08:50:54Z,2023-06-23T12:46:20Z,0,1,1
5615_2023-06-23 18:13:46_2023-06-23 23:55:50.csv,5615,2023-06-23T18:13:46Z,2023-06-23T23:55:50Z,0,0,0
5615_2023-06-24 00:01:24_2023-06-24 03:05:25.csv,5615,2023-06-24T00:01:24Z,2023-06-24T03:05:25Z,1,0,0
5615_2023-06-24 18:01:34_2023-06-24 23:56:14.csv,5615,2023-06-24T18:01:34Z,2023-06-24T23:56:14Z,0,0,0
5615_2023-06-26 03:55:31_2023-06-26 10:03:06.csv,5615,2023-06-26T03:55:31Z,2023-06-26T10:03:06Z,1,1,1
5615_2023-06-26 19:30:08_2023-06-26 23:57:41.csv,5615,2023-06-26T19:30:08Z,2023-06-26T23:57:41Z,1,0,0
5615_2023-06-28 00:01:39_2023-06-28 02:31:13.csv,5615,2023-06-28T00:01:39Z,2023-06-28T02:31:13Z,0,0,0
5615_2023-07-06 17:24:50_2023-07-06 23:56:12.csv,5615,2023-07-06T17:24:50Z,2023-07-06T23:56:12Z,1,0,0
5615_2023-07-07 00:01:00_2023-07-07 06:01:46.csv,5615,2023-07-07T00:01:00Z,2023-07-07T06:01:46Z,1,0,0
5615_2023-07-08 03:24:06_2023-07-08 07:14:25.csv,5615,2023-07-08T03:24:06Z,2023-07-08T07:09:27Z,0,0,0
5615_2023-07-08 21:07:49_2023-07-08 23:57:49.csv,5615,2023-07-08T21:07:49Z,2023-07-08T23:57:49Z,0,0,0
5615_2023-07-09 00:02:37_2023-07-09 03:59:21.csv,5615,2023-07-09T00:02:37Z,2023-07-09T03:59:21Z,1,1,1
5615_2023-07-09 18:19:03_2023-07-09 23:58:24.csv,5615,2023-07-09T18:19:03Z,2023-07-09T23:58:24Z,1,0,0
5615_2023-07-10 20:20:36_2023-07-10 23:54:15.csv,5615,2023-07-10T20:20:36Z,2023-07-10T23:54:15Z,0,0,0
5615_2023-07-11 00:03:51_2023-07-11 05:43:01.csv,5615,2023-07-11T00:03:51Z,2023-07-11T05:43:01Z,1,0,0
5615_2023-07-11 17:31:46_2023-07-11 18:38:59.csv,5615,2023-07-11T17:31:46Z,2023-07-11T18:38:59Z,0,0,0
5615_2023-07-12 02:41:34_2023-07-12 04:33:27.csv,5615,2023-07-12T02:41:34Z,2023-07-12T04:33:27Z,0,0,0
5615_2023-07-15 02:42:57_2023-07-15 05:42:48.csv,5615,2023-07-15T02:47:45Z,2023-07-15T05:38:24Z,1,0,0
5615_2023-07-18 02:02:46_2023-07-18 10:24:43.csv,5615,2023-07-18T02:02:46Z,2023-07-18T10:24:43Z,1,0,0
5615_2023-07-19 00:01:01_2023-07-19 02:55:56.csv,5615,2023-07-19T00:05:53Z,2023-07-19T02:55:56Z,0,0,0
5615_2023-07-19 06:51:53_2023-07-19 07:45:25.csv,5615,2023-07-19T06:51:53Z,2023-07-19T07:45:25Z,0,0,0
5615_2023-07-20 14:37:50_2023-07-20 20:30:51.csv,5615,2023-07-20T14:37:50Z,2023-07-20T20:30:51Z,1,1,1
5615_2023-07-21 03:08:22_2023-07-21 04:36:39.csv,5615,2023-07-21T03:08:22Z,2023-07-21T04:36:39Z,1,0,0
5654_2023-06-14 20:37:45_2023-06-14 21:26:48.csv,5654,2023-06-14T20:37:45Z,2023-06-14T21:26:48Z,0,1,0
5654_2023-06-18 11:23:23_2023-06-18 12:49:58.csv,5654,2023-06-18T11:23:23Z,2023-06-18T12:49:58Z,0,1,0
5654_2023-06-23 03:58:38_2023-06-23 06:03:41.csv,5654,2023-06-23T03:58:38Z,2023-06-23T06:03:41Z,0,1,1
5654_2023-06-25 01:27:26_2023-06-25 02:34:37.csv,5654,2023-06-25T01:27:26Z,2023-06-25T02:34:37Z,0,1,0
5654_2023-06-25 20:31:02_2023-06-25 21:27:34.csv,5654,2023-06-25T20:31:02Z,2023-06-25T21:27:34Z,0,1,0
