file_name,device_info_serial,date_time,index,speed_2d,prediction,confidence,altitude,temperature,runtime,model,inPark,longitude,latitude,WENT_BACK,counttime,temp_diff,time_diff,tempchange,temp_drop_flag,feeding_event
5615_2024-06-30 02:21:43_2024-06-30 06:35:30.csv,5615,2024-06-30T04:49:41Z,0,14.9564,Soar,1,84,26.8,2025-05-21T11:07:35Z,45_best,1,4.1761072,52.41176,1,1719722981,-4.399999999999999,287,-0.015331010452961667,1,1
5615_2024-07-09 15:02:05_2024-07-09 19:26:15.csv,5615,2024-07-09T15:06:53Z,0,8.3971,Flap,1,-5,28.5,2025-05-21T11:07:29Z,45_best,0,4.5380919,52.4590139,1,1720537613,-3.700000000000003,288,-0.012847222222222232,1,1
5615_2024-07-11 02:07:13_2024-07-11 04:28:17.csv,5615,2024-07-11T04:09:06Z,0,11.7813,Flap,0.99,15,26.7,2025-05-21T11:07:17Z,45_best,0,4.4711117,52.5570044,1,1720670946,-2.5,296,-0.008445945945945946,1,1
5615_2024-07-11 02:07:13_2024-07-11 04:28:17.csv,5615,2024-07-11T03:39:13Z,0,1.2756,Float,0.97,-4,23.4,2025-05-21T11:07:17Z,45_best,1,4.4313215,52.5795256,1,1720669153,-3.200000000000003,287,-0.011149825783972136,1,1
5615_2024-07-15 17:38:59_2024-07-15 19:06:11.csv,5615,2024-07-15T18:03:36Z,0,0.2364,Float,0.71,-2,24.2,2025-05-21T11:07:00Z,45_best,0,4.379023,52.4274139,1,1721066616,-3.3000000000000007,308,-0.010714285714285716,1,1
5615_2024-07-17 16:11:30_2024-07-17 20:23:27.csv,5615,2024-07-17T19:25:53Z,0,10.7222,Flap,1,20,27,2025-05-21T11:06:43Z,45_best,0,4.0161061,52.546957,1,1721244353,-4.899999999999999,2135,-0.002295081967213114,1,1
5615_2024-07-17 16:11:30_2024-07-17 20:23:27.csv,5615,2024-07-17T17:42:04Z,0,11.3649,Flap,1,65,26.6,2025-05-21T11:06:43Z,45_best,1,4.2497034,52.6155738,1,1721238124,-2.6999999999999993,307,-0.008794788273615633,1,1
5615_2024-07-17 16:55:46_2024-07-17 20:04:18.csv,5615,2024-07-17T19:25:53Z,0,10.7222,Flap,1,20,27,2025-05-21T11:06:49Z,45_best,0,4.0161061,52.546957,1,1721244353,-4.899999999999999,2135,-0.002295081967213114,1,1
5615_2024-07-17 16:55:46_2024-07-17 20:04:18.csv,5615,2024-07-17T17:42:04Z,0,11.3649,Flap,1,65,26.6,2025-05-21T11:06:49Z,45_best,1,4.2497034,52.6155738,1,1721238124,-2.6999999999999993,307,-0.008794788273615633,1,1
5717_2024-05-01 00:02:35_2024-05-01 03:56:40.csv,5717,2024-05-01T00:52:26Z,0,0.8552,Float,0.52,-7,23.5,2025-05-21T10:41:29Z,45_best,0,4.4160763,52.4242204,1,1714524746,-5.399999999999999,296,-0.018243243243243237,1,1
5717_2024-05-02 00:03:08_2024-05-02 03:20:55.csv,5717,2024-05-02T03:06:09Z,0,5.6498,Flap,1,-2,24.1,2025-05-21T10:41:16Z,45_best,0,4.5061025,52.5189187,1,1714619169,-6.399999999999999,287,-0.022299651567944247,1,1
5717_2024-05-13 20:01:39_2024-05-13 20:29:42.csv,5717,2024-05-13T20:09:21Z,0,0.758,Float,0.7,2,24.1,2025-05-21T10:41:04Z,45_best,0,4.4661041,52.483524,1,1715630961,-4.099999999999998,290,-0.014137931034482751,1,1
5717_2024-07-31 04:15:53_2024-07-31 09:25:14.csv,5717,2024-07-31T06:09:20Z,0,0.6991,TerLoco,0.42,-4,28.3,2025-05-21T10:40:30Z,45_best,1,4.1014049,52.3883373,1,1722406160,-3.099999999999998,288,-0.010763888888888882,1,1
5717_2024-07-31 08:44:48_2024-07-31 19:28:23.csv,5717,2024-07-31T16:17:06Z,0,16.5797,Soar,1,264,32.3,2025-05-21T10:40:24Z,45_best,0,4.5065688,52.4563845,1,1722442626,-9.5,1828,-0.005196936542669584,1,1
5861_2024-05-12 14:17:53_2024-05-12 15:40:30.csv,5861,2024-05-12T15:30:54Z,0,0.5704,Float,0.92,-11,29.5,2025-05-21T14:46:10Z,45_best,0,4.5279798,52.4828185,1,1715527854,-6.200000000000003,288,-0.021527777777777788,1,1
5861_2024-05-31 06:27:49_2024-05-31 07:03:01.csv,5861,2024-05-31T06:46:09Z,0,8.9883,Flap,0.99,38,29,2025-05-21T14:45:57Z,45_best,0,4.4454606,52.4969078,1,1717137969,-2.3000000000000007,204,-0.011274509803921572,1,1
5861_2024-06-24 00:01:49_2024-06-24 02:03:40.csv,5861,2024-06-24T01:58:06Z,0,8.8746,Flap,0.99,10,27.9,2025-05-21T14:45:45Z,45_best,0,4.5240359,52.4291608,1,1719194286,-8.100000000000001,286,-0.028321678321678326,1,1
